feature_index,old_feature_name,old_feature_group,mean_abs_shap,feature_name,feature_group
38,genomic_feature_38,Other_basic,0.00056706,genomic_feature_248,Other_basic
277,genomic_feature_277,Other_basic,0.00056666,genomic_feature_134,Other_basic
10,genomic_feature_10,Other_basic,0.00056562,genomic_feature_278,Other_basic
4,genomic_feature_4,Other_basic,0.00056319,genomic_feature_102,Other_basic
8,genomic_feature_8,Other_basic,0.0005626,genomic_feature_69,Other_basic
258,genomic_feature_258,Other_basic,0.00056099,genomic_feature_113,Other_basic
344,genomic_feature_344,Other_basic,0.00055896,genomic_feature_221,Other_basic
157,genomic_feature_157,Other_basic,0.0005566,genomic_feature_142,Other_basic
284,genomic_feature_284,Other_basic,0.00054919,genomic_feature_167,Other_basic
249,genomic_feature_249,Other_basic,0.00054391,genomic_feature_101,Other_basic
265,genomic_feature_265,Other_basic,0.00054325,genomic_feature_324,Other_basic
122,genomic_feature_122,Other_basic,0.00054191,genomic_feature_339,Other_basic
164,genomic_feature_164,Other_basic,0.00054176,genomic_feature_23,Other_basic
297,genomic_feature_297,Other_basic,0.0005401,genomic_feature_150,Other_basic
336,genomic_feature_336,Other_basic,0.00053672,genomic_feature_149,Other_basic
286,genomic_feature_286,Other_basic,0.00053624,genomic_feature_209,Other_basic
328,genomic_feature_328,Other_basic,0.00053017,genomic_feature_220,Other_basic
321,genomic_feature_321,Other_basic,0.00052814,genomic_feature_305,Other_basic
292,genomic_feature_292,Other_basic,0.00052688,genomic_feature_329,Other_basic
106,genomic_feature_106,Other_basic,0.0005264,genomic_feature_184,Other_basic
211,genomic_feature_211,Other_basic,0.00052481,genomic_feature_346,Other_basic
22,genomic_feature_22,Other_basic,0.00052186,genomic_feature_178,Other_basic
95,genomic_feature_95,Other_basic,0.00051424,genomic_feature_351,Other_basic
142,genomic_feature_142,Other_basic,0.00051317,genomic_feature_190,Other_basic
252,genomic_feature_252,Other_basic,0.00051214,genomic_feature_154,Other_basic
121,genomic_feature_121,Other_basic,0.00051146,genomic_feature_219,Other_basic
214,genomic_feature_214,Other_basic,0.0005111,genomic_feature_312,Other_basic
81,genomic_feature_81,Other_basic,0.00051103,genomic_feature_103,Other_basic
160,genomic_feature_160,Other_basic,0.00050788,genomic_feature_225,Other_basic
156,genomic_feature_156,Other_basic,0.00050683,genomic_feature_310,Other_basic
200,genomic_feature_200,Other_basic,0.00050653,genomic_feature_129,Other_basic
279,genomic_feature_279,Other_basic,0.00050219,genomic_feature_89,Other_basic
327,genomic_feature_327,Other_basic,0.0005004,genomic_feature_2,Other_basic
127,genomic_feature_127,Other_basic,0.00050009,genomic_feature_48,Other_basic
130,genomic_feature_130,Other_basic,0.00049538,genomic_feature_277,Other_basic
168,genomic_feature_168,Other_basic,0.00049305,genomic_feature_281,Other_basic
136,genomic_feature_136,Other_basic,0.00048939,genomic_feature_44,Other_basic
143,genomic_feature_143,Other_basic,0.00048935,genomic_feature_287,Other_basic
55,genomic_feature_55,Other_basic,0.00048738,genomic_feature_199,Other_basic
311,genomic_feature_311,Other_basic,0.00048526,genomic_feature_195,Other_basic
239,genomic_feature_239,Other_basic,0.00048153,genomic_feature_276,Other_basic
352,genomic_feature_352,Other_basic,0.00047792,genomic_feature_313,Other_basic
345,genomic_feature_345,Other_basic,0.00047755,genomic_feature_136,Other_basic
108,genomic_feature_108,Other_basic,0.00047718,genomic_feature_71,Other_basic
25,genomic_feature_25,Other_basic,0.00047699,genomic_feature_86,Other_basic
148,genomic_feature_148,Other_basic,0.00047695,genomic_feature_264,Other_basic
167,genomic_feature_167,Other_basic,0.00047669,genomic_feature_45,Other_basic
145,genomic_feature_145,Other_basic,0.00047513,genomic_feature_14,Other_basic
221,genomic_feature_221,Other_basic,0.00047396,genomic_feature_216,Other_basic
131,genomic_feature_131,Other_basic,0.00047353,genomic_feature_50,Other_basic
220,genomic_feature_220,Other_basic,0.00047185,genomic_feature_285,Other_basic
306,genomic_feature_306,Other_basic,0.00046975,genomic_feature_55,Other_basic
124,genomic_feature_124,Other_basic,0.00046154,genomic_feature_222,Other_basic
269,genomic_feature_269,Other_basic,0.00045771,genomic_feature_348,Other_basic
255,genomic_feature_255,Other_basic,0.00045597,genomic_feature_11,Other_basic
59,genomic_feature_59,Other_basic,0.00045565,genomic_feature_49,Other_basic
175,genomic_feature_175,Other_basic,0.00045252,genomic_feature_21,Other_basic
173,genomic_feature_173,Other_basic,0.00044896,genomic_feature_246,Other_basic
170,genomic_feature_170,Other_basic,0.00044846,genomic_feature_306,Other_basic
129,genomic_feature_129,Other_basic,0.0004482,genomic_feature_163,Other_basic
329,genomic_feature_329,Other_basic,0.00044744,genomic_feature_252,Other_basic
73,genomic_feature_73,Other_basic,0.00044717,genomic_feature_341,Other_basic
198,genomic_feature_198,Other_basic,0.00044585,genomic_feature_232,Other_basic
103,genomic_feature_103,Other_basic,0.00044583,genomic_feature_17,Other_basic
238,genomic_feature_238,Other_basic,0.00044219,genomic_feature_109,Other_basic
7,genomic_feature_7,Other_basic,0.00044048,genomic_feature_54,Other_basic
330,genomic_feature_330,Other_basic,0.00043909,genomic_feature_263,Other_basic
242,genomic_feature_242,Other_basic,0.00043904,genomic_feature_164,Other_basic
