model,n,accuracy,precision,recall_sensitivity,specificity,f1,roc_auc,pr_auc,mcc,tn,fp,fn,tp,threshold
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.1690000000000001
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.1700000000000001
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.1710000000000001
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.1720000000000001
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.1730000000000001
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.1740000000000001
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.1750000000000001
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.1760000000000001
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.1770000000000001
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.1780000000000001
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.1790000000000001
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.1800000000000001
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.1810000000000001
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.1820000000000001
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.1830000000000001
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.1840000000000001
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.1850000000000001
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.1860000000000001
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.1870000000000001
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.1880000000000001
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.1890000000000001
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.1900000000000001
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.19100000000000011
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.19200000000000012
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.19300000000000012
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.19400000000000012
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.19500000000000012
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.19600000000000012
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.19700000000000012
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.19800000000000012
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.19900000000000012
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.20000000000000012
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.20100000000000012
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.20200000000000012
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.20300000000000012
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.20400000000000013
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.20500000000000013
Simple mean fusion,45,0.4222222222222222,0.4222222222222222,1.0,0.0,0.59375,0.6902834008097166,0.634041087471843,0.0,0,26,0,19,0.20600000000000013
