model,threshold,accuracy,precision,recall_sensitivity,specificity,f1,roc_auc,pr_auc,mcc,tn,fp,fn,tp,permuted_block,repeat_id,roc_auc_drop,pr_auc_drop,f1_drop,mcc_drop,accuracy_drop
Genomic block permuted,0.5,0.6273062730627307,0.6231884057971014,0.6370370370370371,0.6176470588235294,0.63003663003663,0.7112745098039216,0.7247839923361238,0.254725721111455,84,52,49,86,genomic_block,19,0.017701525054466205,0.03246891833355148,0.02896720138099451,0.08903726027673531,0.044280442804428
Protein block permuted,0.5,0.5129151291512916,0.5112781954887218,0.5037037037037037,0.5220588235294118,0.5074626865671642,0.5239106753812637,0.5173597434136469,0.025766737828425618,71,65,67,68,protein_block,20,0.20506535947712412,0.23989316725602838,0.15154114485046033,0.31799624355976464,0.15867158671586712
Genomic block permuted,0.5,0.6531365313653137,0.6614173228346457,0.6222222222222222,0.6838235294117647,0.6412213740458015,0.710511982570806,0.7261419556206078,0.30664761210054253,93,43,51,84,genomic_block,20,0.018464052287581745,0.031110955049067468,0.017782457371823046,0.03711536928764775,0.01845018450184499
Protein block permuted,0.5,0.5645756457564576,0.5620437956204379,0.5703703703703704,0.5588235294117647,0.5661764705882353,0.5709694989106754,0.566158243823743,0.12920093706186261,76,60,58,77,protein_block,21,0.1580065359477124,0.19109466684593224,0.09282736082938925,0.21456204432632767,0.1070110701107011
Genomic block permuted,0.5,0.6937269372693727,0.6911764705882353,0.6962962962962963,0.6911764705882353,0.6937269372693727,0.7305010893246188,0.7495158164076983,0.3874727668845316,94,42,41,94,genomic_block,21,-0.0015250544662309684,0.007737094261976996,-0.034723105851748204,-0.0437097854963413,-0.022140221402214055
Protein block permuted,0.5,0.5239852398523985,0.5234375,0.4962962962962963,0.5514705882352942,0.5095057034220533,0.5225762527233115,0.563333434075156,0.047839898700578816,75,61,68,67,protein_block,22,0.20639978213507626,0.19391947659451925,0.14949812799557127,0.29592308268761147,0.14760147601476015
Genomic block permuted,0.5,0.6383763837638377,0.6504065040650406,0.5925925925925926,0.6838235294117647,0.6201550387596899,0.6929193899782136,0.6826006504790795,0.2775979756382429,93,43,55,80,genomic_block,22,0.03605664488017424,0.07465226019059579,0.03884879265793462,0.06616500574994738,0.03321033210332103
Protein block permuted,0.5,0.47232472324723246,0.4696969696969697,0.45925925925925926,0.4852941176470588,0.46441947565543074,0.4765795206971678,0.5144813764779566,-0.05546475179225156,66,70,73,62,protein_block,23,0.25239651416122,0.2427715341917187,0.1945843557621938,0.39922773318044186,0.19926199261992622
Genomic block permuted,0.5,0.6678966789667896,0.6771653543307087,0.6370370370370371,0.6985294117647058,0.6564885496183206,0.7085784313725491,0.7127435187619566,0.3362263637927465,95,41,49,86,genomic_block,23,0.020397603485838744,0.04450939190771863,0.0025152817993039367,0.007536617595443773,0.0036900369003690647
Protein block permuted,0.5,0.46494464944649444,0.4609375,0.43703703703703706,0.49264705882352944,0.44866920152091255,0.45925925925925926,0.4891704233325317,-0.07042338565843473,67,69,76,59,protein_block,24,0.26971677559912854,0.26808248733714357,0.21033462989671198,0.41418636704662504,0.20664206642066424
