feature_index,feature_name,coefficient,abs_coefficient,block,feature_group
1682,dnabert2_emb_658,0.27461318,0.27461318,Genomic_DNABERT2_block,DNABERT2_embedding
395,protein_emb_395,0.27401461,0.27401461,Protein_ProtBERT_SW_block,Protein_embedding
94,protein_emb_94,-0.27377206,0.27377206,Protein_ProtBERT_SW_block,Protein_embedding
1574,dnabert2_emb_550,-0.27374652,0.27374652,Genomic_DNABERT2_block,DNABERT2_embedding
1620,dnabert2_emb_596,-0.27319649,0.27319649,Genomic_DNABERT2_block,DNABERT2_embedding
1251,dnabert2_emb_227,0.27301127,0.27301127,Genomic_DNABERT2_block,DNABERT2_embedding
1310,dnabert2_emb_286,-0.27298021,0.27298021,Genomic_DNABERT2_block,DNABERT2_embedding
615,protein_emb_615,-0.27253281,0.27253281,Protein_ProtBERT_SW_block,Protein_embedding
1276,dnabert2_emb_252,0.27251171,0.27251171,Genomic_DNABERT2_block,DNABERT2_embedding
57,protein_emb_57,0.27246326,0.27246326,Protein_ProtBERT_SW_block,Protein_embedding
662,protein_emb_662,-0.27223489,0.27223489,Protein_ProtBERT_SW_block,Protein_embedding
1188,dnabert2_emb_164,-0.27220704,0.27220704,Genomic_DNABERT2_block,DNABERT2_embedding
1167,dnabert2_emb_143,0.27213453,0.27213453,Genomic_DNABERT2_block,DNABERT2_embedding
28,protein_emb_28,-0.27170086,0.27170086,Protein_ProtBERT_SW_block,Protein_embedding
279,protein_emb_279,0.2715296,0.2715296,Protein_ProtBERT_SW_block,Protein_embedding
912,protein_emb_912,0.2710688,0.2710688,Protein_ProtBERT_SW_block,Protein_embedding
373,protein_emb_373,0.27046758,0.27046758,Protein_ProtBERT_SW_block,Protein_embedding
674,protein_emb_674,-0.27034711,0.27034711,Protein_ProtBERT_SW_block,Protein_embedding
52,protein_emb_52,0.27020731,0.27020731,Protein_ProtBERT_SW_block,Protein_embedding
1603,dnabert2_emb_579,0.26966112,0.26966112,Genomic_DNABERT2_block,DNABERT2_embedding
17,protein_emb_17,-0.26937508,0.26937508,Protein_ProtBERT_SW_block,Protein_embedding
1790,dnabert2_emb_766,0.26934465,0.26934465,Genomic_DNABERT2_block,DNABERT2_embedding
73,protein_emb_73,-0.26916412,0.26916412,Protein_ProtBERT_SW_block,Protein_embedding
470,protein_emb_470,-0.26916108,0.26916108,Protein_ProtBERT_SW_block,Protein_embedding
417,protein_emb_417,-0.2690969,0.2690969,Protein_ProtBERT_SW_block,Protein_embedding
1572,dnabert2_emb_548,-0.26823729,0.26823729,Genomic_DNABERT2_block,DNABERT2_embedding
1000,protein_emb_1000,-0.26823233,0.26823233,Protein_ProtBERT_SW_block,Protein_embedding
208,protein_emb_208,-0.26817482,0.26817482,Protein_ProtBERT_SW_block,Protein_embedding
1080,dnabert2_emb_56,-0.26769958,0.26769958,Genomic_DNABERT2_block,DNABERT2_embedding
1056,dnabert2_emb_32,0.26751366,0.26751366,Genomic_DNABERT2_block,DNABERT2_embedding
1597,dnabert2_emb_573,-0.26738261,0.26738261,Genomic_DNABERT2_block,DNABERT2_embedding
503,protein_emb_503,-0.26641306,0.26641306,Protein_ProtBERT_SW_block,Protein_embedding
1240,dnabert2_emb_216,0.26629517,0.26629517,Genomic_DNABERT2_block,DNABERT2_embedding
1483,dnabert2_emb_459,0.2657512,0.2657512,Genomic_DNABERT2_block,DNABERT2_embedding
573,protein_emb_573,0.26519062,0.26519062,Protein_ProtBERT_SW_block,Protein_embedding
1559,dnabert2_emb_535,-0.26514857,0.26514857,Genomic_DNABERT2_block,DNABERT2_embedding
204,protein_emb_204,-0.26446558,0.26446558,Protein_ProtBERT_SW_block,Protein_embedding
1409,dnabert2_emb_385,-0.26438405,0.26438405,Genomic_DNABERT2_block,DNABERT2_embedding
570,protein_emb_570,0.26385121,0.26385121,Protein_ProtBERT_SW_block,Protein_embedding
928,protein_emb_928,-0.26352181,0.26352181,Protein_ProtBERT_SW_block,Protein_embedding
182,protein_emb_182,-0.26342539,0.26342539,Protein_ProtBERT_SW_block,Protein_embedding
759,protein_emb_759,-0.2633751,0.2633751,Protein_ProtBERT_SW_block,Protein_embedding
1667,dnabert2_emb_643,-0.26316173,0.26316173,Genomic_DNABERT2_block,DNABERT2_embedding
894,protein_emb_894,-0.26292088,0.26292088,Protein_ProtBERT_SW_block,Protein_embedding
186,protein_emb_186,0.26236175,0.26236175,Protein_ProtBERT_SW_block,Protein_embedding
1699,dnabert2_emb_675,-0.26204884,0.26204884,Genomic_DNABERT2_block,DNABERT2_embedding
1264,dnabert2_emb_240,0.26192153,0.26192153,Genomic_DNABERT2_block,DNABERT2_embedding
245,protein_emb_245,-0.26138296,0.26138296,Protein_ProtBERT_SW_block,Protein_embedding
1719,dnabert2_emb_695,0.26082583,0.26082583,Genomic_DNABERT2_block,DNABERT2_embedding
678,protein_emb_678,-0.26082229,0.26082229,Protein_ProtBERT_SW_block,Protein_embedding
150,protein_emb_150,-0.26005431,0.26005431,Protein_ProtBERT_SW_block,Protein_embedding
996,protein_emb_996,0.25989115,0.25989115,Protein_ProtBERT_SW_block,Protein_embedding
1306,dnabert2_emb_282,-0.25967461,0.25967461,Genomic_DNABERT2_block,DNABERT2_embedding
1403,dnabert2_emb_379,-0.25950643,0.25950643,Genomic_DNABERT2_block,DNABERT2_embedding
856,protein_emb_856,0.25848805,0.25848805,Protein_ProtBERT_SW_block,Protein_embedding
1564,dnabert2_emb_540,0.25847395,0.25847395,Genomic_DNABERT2_block,DNABERT2_embedding
21,protein_emb_21,0.25811949,0.25811949,Protein_ProtBERT_SW_block,Protein_embedding
1157,dnabert2_emb_133,0.25798582,0.25798582,Genomic_DNABERT2_block,DNABERT2_embedding
1219,dnabert2_emb_195,-0.25777976,0.25777976,Genomic_DNABERT2_block,DNABERT2_embedding
164,protein_emb_164,-0.25762809,0.25762809,Protein_ProtBERT_SW_block,Protein_embedding
191,protein_emb_191,0.25738687,0.25738687,Protein_ProtBERT_SW_block,Protein_embedding
1753,dnabert2_emb_729,-0.25707199,0.25707199,Genomic_DNABERT2_block,DNABERT2_embedding
1076,dnabert2_emb_52,0.2568856,0.2568856,Genomic_DNABERT2_block,DNABERT2_embedding
1140,dnabert2_emb_116,-0.25671245,0.25671245,Genomic_DNABERT2_block,DNABERT2_embedding
1685,dnabert2_emb_661,0.25664317,0.25664317,Genomic_DNABERT2_block,DNABERT2_embedding
541,protein_emb_541,0.25598265,0.25598265,Protein_ProtBERT_SW_block,Protein_embedding
187,protein_emb_187,-0.2559324,0.2559324,Protein_ProtBERT_SW_block,Protein_embedding
