feature_index,feature_name,feature_group,importance_mean_pr_auc_drop,importance_sd_pr_auc_drop
218,genomic_feature_218,Other_basic,-0.00047,0.00089
209,genomic_feature_209,Other_basic,-0.00047,0.000478
327,genomic_feature_327,Other_basic,-0.000483,0.000543
40,genomic_feature_40,Other_basic,-0.000485,0.000479
205,genomic_feature_205,Other_basic,-0.000487,0.001736
243,genomic_feature_243,Other_basic,-0.000497,0.00062
170,genomic_feature_170,Other_basic,-0.000502,0.000654
329,genomic_feature_329,Other_basic,-0.000505,0.000626
93,genomic_feature_93,Other_basic,-0.000507,0.001062
240,genomic_feature_240,Other_basic,-0.000507,0.000308
308,genomic_feature_308,Other_basic,-0.000512,0.00047
70,genomic_feature_70,Other_basic,-0.000519,0.000666
150,genomic_feature_150,Other_basic,-0.000523,0.000839
201,genomic_feature_201,Other_basic,-0.00053,0.000951
6,genomic_feature_6,Other_basic,-0.000534,0.000801
97,genomic_feature_97,Other_basic,-0.000551,0.000696
143,genomic_feature_143,Other_basic,-0.000552,0.000686
211,genomic_feature_211,Other_basic,-0.000553,0.000461
114,genomic_feature_114,Other_basic,-0.000554,0.000606
198,genomic_feature_198,Other_basic,-0.00056,0.000511
90,genomic_feature_90,Other_basic,-0.000564,0.000543
55,genomic_feature_55,Other_basic,-0.000573,0.000609
179,genomic_feature_179,Other_basic,-0.000574,0.000913
127,genomic_feature_127,Other_basic,-0.000575,0.000544
156,genomic_feature_156,Other_basic,-0.000593,0.000949
64,genomic_feature_64,Other_basic,-0.000594,0.00155
195,genomic_feature_195,Other_basic,-0.000603,0.001275
172,genomic_feature_172,Other_basic,-0.000611,0.000504
159,genomic_feature_159,Other_basic,-0.000616,0.000359
297,genomic_feature_297,Other_basic,-0.000625,0.000566
249,genomic_feature_249,Other_basic,-0.000625,0.000506
46,genomic_feature_46,Other_basic,-0.000627,0.000798
74,genomic_feature_74,Other_basic,-0.000631,0.00223
213,genomic_feature_213,Other_basic,-0.000694,0.000408
52,genomic_feature_52,Other_basic,-0.000702,0.000667
239,genomic_feature_239,Other_basic,-0.000709,0.000578
305,genomic_feature_305,Other_basic,-0.00071,0.000378
119,genomic_feature_119,Other_basic,-0.000711,0.000498
173,genomic_feature_173,Other_basic,-0.000717,0.0007
34,genomic_feature_34,Other_basic,-0.000721,0.001042
28,genomic_feature_28,Other_basic,-0.000734,0.00106
186,genomic_feature_186,Other_basic,-0.00074,0.000618
2,genomic_feature_2,Other_basic,-0.000743,0.000869
220,genomic_feature_220,Other_basic,-0.000773,0.000589
252,genomic_feature_252,Other_basic,-0.000781,0.000822
263,genomic_feature_263,Other_basic,-0.000789,0.000738
269,genomic_feature_269,Other_basic,-0.00079,0.000423
111,genomic_feature_111,Other_basic,-0.000831,0.000588
255,genomic_feature_255,Other_basic,-0.000836,0.000464
26,genomic_feature_26,Other_basic,-0.000855,0.00212
238,genomic_feature_238,Other_basic,-0.000867,0.000433
149,genomic_feature_149,Other_basic,-0.000891,0.000461
168,genomic_feature_168,Other_basic,-0.00091,0.000647
318,genomic_feature_318,Other_basic,-0.000923,0.000721
33,genomic_feature_33,Other_basic,-0.000935,0.000759
282,genomic_feature_282,Other_basic,-0.000938,0.000665
236,genomic_feature_236,Other_basic,-0.000974,0.000796
108,genomic_feature_108,Other_basic,-0.000985,0.000415
253,genomic_feature_253,Other_basic,-0.001041,0.000867
221,genomic_feature_221,Other_basic,-0.001092,0.000442
136,genomic_feature_136,Other_basic,-0.001104,0.000361
32,genomic_feature_32,Other_basic,-0.001224,0.002416
47,genomic_feature_47,Other_basic,-0.001272,0.000868
202,genomic_feature_202,Other_basic,-0.001447,0.00194
258,genomic_feature_258,Other_basic,-0.00158,0.000644
75,genomic_feature_75,Other_basic,-0.001659,0.000809
189,genomic_feature_189,Other_basic,-0.001706,0.001707
313,genomic_feature_313,Other_basic,-0.001786,0.000743
206,genomic_feature_206,Other_basic,-0.001867,0.002068
254,genomic_feature_254,Other_basic,-0.002846,0.001926
27,genomic_feature_27,Other_basic,-0.003045,0.003563
