feature_index,feature_name,feature_group,mean_abs_shap
159,genomic_feature_159,Other_basic,0.00035849
224,genomic_feature_224,Other_basic,0.00035648
176,genomic_feature_176,Other_basic,0.00035347
350,genomic_feature_350,Other_basic,0.00035303
295,genomic_feature_295,Other_basic,0.0003457
113,genomic_feature_113,Other_basic,0.00034379
267,genomic_feature_267,Other_basic,0.0003421
308,genomic_feature_308,Other_basic,0.00034177
319,genomic_feature_319,Other_basic,0.00033969
139,genomic_feature_139,Other_basic,0.00033956
134,genomic_feature_134,Other_basic,0.00033693
230,genomic_feature_230,Other_basic,0.00033618
119,genomic_feature_119,Other_basic,0.00033315
141,genomic_feature_141,Other_basic,0.00033213
333,genomic_feature_333,Other_basic,0.00032778
222,genomic_feature_222,Other_basic,0.00032216
210,genomic_feature_210,Other_basic,0.00031442
240,genomic_feature_240,Other_basic,0.00031259
196,genomic_feature_196,Other_basic,0.00029807
305,genomic_feature_305,Other_basic,0.00029593
256,genomic_feature_256,Other_basic,0.00029199
348,genomic_feature_348,Other_basic,0.00028011
300,genomic_feature_300,Other_basic,0.00027903
126,genomic_feature_126,Other_basic,0.00027371
40,genomic_feature_40,Other_basic,0.00027123
204,genomic_feature_204,Other_basic,0.00025591
152,genomic_feature_152,Other_basic,0.00024489
346,genomic_feature_346,Other_basic,0.00024311
208,genomic_feature_208,Other_basic,0.00023373
314,genomic_feature_314,Other_basic,0.00022081
288,genomic_feature_288,Other_basic,0.0002161
0,genomic_feature_0,Other_basic,0.0
