protein_embedding_cluster,n_samples,n_positive,n_negative,genes,positive_rate
70,12,8,4,ADH1B; COQ6; ECE2; NUTM2G; NCAM1; SOS2; SLC35A4; NOP14; HK1; BRAF; PLEKHM3; RBM6,0.6667
71,14,9,5,ZCCHC9; IL17REL; FAM171A2; CCDC188; MAD1L1; LPL; C8ORF88; NLGN1; SGPL1; PAPOLG; GPC5; AKT2; RAB29; PRC1,0.6429
72,2,0,2,FAXC; CAGE1,0.0
73,12,5,7,NEXMIF; USP48; HSF2; NDUFB11; ZNF689; FADS2; HAUS6; KIF16B; POLGARF; ZNF747; FGFR4; SMC2,0.4167
74,12,9,3,GTF2IRD2; SPRY4; TMEM145; CRYBA1; DUSP9; NDUFV3; LZIC; PLCG2; AUTS2; NFIB; SELL; SEMA6C,0.75
75,1,1,0,ST8SIA4,1.0
76,32,23,9,WIPI1; SHLD2; ADRA1D; TENT5A; PAXIP1; SEPTIN3; FAM90A26; CAMK2B; IL13; FITM2; PLPPR1; ZNF281; DHTKD1; SIGLEC9; CDC25A; LRRC74A; C12ORF43; ZNF532; BMF; PACRG,0.7188
77,16,8,8,FTO; BACE2; GEMIN2; RBM44; PPP3CA; STAP1; SLC16A13; GCGR; BIVM; TCF7L2; JAZF1; MYH10; CHIC1; TSSK2; IDE; SGO2,0.5
78,24,13,11,PTPRD; RALGAPA2; ZNF136; BFSP2; NKX2-6; CCNO; CSF1; SEPHS2; MYOZ2; RBFOX1; TM4SF4; DRAXIN; SLCO4C1; TMEM52B; SCN2A; CECR2; WT1; C19ORF18; PSMD6; SLC2A2,0.5417
79,4,2,2,ABTB3; CNR1; LRRC10B; ZNHIT6,0.5
80,24,14,10,ADA; PITRM1; OR2L5; ARPIN; TSC22D2; HERC3; ACADS; ADCY9; NRP2; MTARC2; ZBED4; NPTN; ANKH; CHERP; PPIP5K2; C2ORF80; TAFA5; SEC16B; ITPRID2; GCKR,0.5833
81,23,12,11,SLC22A2; MICALL1; NPC1; SLC38A11; NAA16; WRN; CXXC1; IL12RB1; SETBP1; ZKSCAN4; ACVR2A; TNFAIP3; BCL2L11; FN3K; APLP2; CHFR; LSM11; REM2; ANAPC4; ERVV-1,0.5217
82,6,3,3,IZUMO1R; RNF216; ZBTB14; LTO1; UBASH3A; PAMR1,0.5
83,4,2,2,NDUFA3; SERGEF; CLCNKA; MCF2,0.5
84,16,7,9,IBA57; COPB1; PPARA; DEDD2; PRIM1; PDZRN4; CEBPG; RP2; POLR3H; EBF1; TMEM191B; EFHB; PCDH17; MEIOC; BIK; LCE3E,0.4375
85,13,7,6,LIPC; KIAA1549; CTLA4; SLC22A3; CST9L; KLLN; EXO5; TOX3; SYTL1; TSHZ3; RALY; ASIC1; NPIPB11,0.5385
86,24,13,11,INF2; ZNF169; CLNS1A; ARPC5L; GLRA1; RDH14; CYRIA; GLP1R; ACE; IRS2; LGSN; CAMSAP3; PAM; ZNF81; LDLRAD4; OR8J3; PCDHGB1; OSER1; AFG3L2; RAB41,0.5417
87,10,6,4,SLC26A9; SCAF4; SPDYE2B; LHFPL3; MAML2; CLUAP1; TET1; PAAF1; TMEM208; DYNC2H1,0.6
88,2,1,1,LPA; HECTD1,0.5
89,14,10,4,UGT3A1; ZNF326; SSX5; HMGCR; PCNT; SMARCAD1; TLCD4; VWA5B1; TAF8; NDUFA7; LIPH; NDUFS3; ARL15; HHIPL1,0.7143
90,15,10,5,SORCS2; POLR3A; JARID2; ART3; RIGI; SIPA1L3; CTRB1; COL6A1; CCNH; MACF1; ZNF346; TMEM87A; CALCR; FHIT; IGF2BP1,0.6667
91,25,9,16,UBE3B; IL10; SYNDIG1; ZC3H4; WDR44; HTT; EMILIN2; FOXK1; NOPCHAP1; MBLAC1; TRMT10C; SLC39A6; OR52E8; ZNF404; GTF2I; ZNF462; GLB1L; CDS2; SMC1A; ZNF516,0.36
92,14,5,9,MS4A14; KLHL7; NDUFA5; CFAP184; MED27; WDR43; APBB1; ZNF57; GPHN; SLIT2; GPC2; SLC39A10; FRMPD3; UBE3C,0.3571
93,14,6,8,CACNA1D; XPC; CYFIP2; C1GALT1; LONRF1; RAI1; NRSN1; CEP120; NKX6-3; MLH3; SPAG6; CRISP1; ZNF670; ROS1,0.4286
94,13,10,3,HAGHL; PLA2G4D; TECPR1; JADE3; PARP8; NHSL1; TBC1D4; HP; JPH1; KIF11; NDUFB2; FFAR1; TRAF3IP2,0.7692
95,17,8,9,C12ORF60; EPS15; PDE4B; SH3YL1; NDUFB5; UBE2U; ITGA1; ILVBL; PLXND1; METTL25B; OTULINL; G6PC2; SPDYE13; RASGRP1; APLP1; CEP128; JPT2,0.4706
96,6,5,1,ALDH2; PCGF3; CDKN1B; TIMP4; MBNL1; MCM8,0.8333
