comparison,model_a,model_b,top_k,metric,model_a_value,model_b_value,delta
Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,25,ndcg_at_k,0.92611,0.71581,0.2103
Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,25,average_precision_at_k,0.9244,0.71407,0.21033
Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,50,precision_at_k,0.78,0.82,-0.04
Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,50,recall_at_k,0.04319,0.0454,-0.00221
Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,50,enrichment_factor_at_k,1.56,1.64,-0.08
Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,50,ndcg_at_k,0.81838,0.75776,0.06062
Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,50,average_precision_at_k,0.87777,0.7472,0.13057
Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,100,precision_at_k,0.84,0.77,0.07
Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,100,recall_at_k,0.09302,0.08527,0.00775
Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,100,enrichment_factor_at_k,1.68,1.54,0.14
Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,100,ndcg_at_k,0.84979,0.74325,0.10654
Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,100,average_precision_at_k,0.84627,0.76746,0.07881
Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,150,precision_at_k,0.83333,0.80667,0.02666
Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,150,recall_at_k,0.13843,0.134,0.00443
Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,150,enrichment_factor_at_k,1.66667,1.61333,0.05334
Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,150,ndcg_at_k,0.84249,0.77846,0.06403
Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,150,average_precision_at_k,0.84518,0.77818,0.067
Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,200,precision_at_k,0.83,0.815,0.015
Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,200,recall_at_k,0.18383,0.18051,0.00332
Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,200,enrichment_factor_at_k,1.66,1.63,0.03
Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,200,ndcg_at_k,0.83829,0.79048,0.04781
Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,200,average_precision_at_k,0.84278,0.78799,0.05479
Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,300,precision_at_k,0.78333,0.77333,0.01
Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,300,recall_at_k,0.26024,0.25692,0.00332
