scenario_name,comparison,model_a,model_b,metric,mean_delta,sd_delta,ci95_low,ci95_high,wins_model_a,wins_model_b,ties,wilcoxon_p,wilcoxon_bh_fdr_within_scenario
Random_Negatives_2,DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,f1,-0.00157,0.11064,-0.05814,0.05034,9,6,0,0.82024,0.82024
Random_Negatives_2,Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,pr_auc,0.04537,0.05642,0.01567,0.07047,12,3,0,0.01245,0.0332
Random_Negatives_2,Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,mcc,0.07213,0.0658,0.04006,0.10346,12,3,0,0.00201,0.00645
Random_Negatives_2,Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,roc_auc,0.0675,0.03949,0.04724,0.08573,14,1,0,0.00018,0.00244
Random_Negatives_2,Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,f1,0.07066,0.11191,0.0164,0.12516,10,5,0,0.02557,0.04092
Random_Negatives_3,DNABERT2_multimodal minus Handcrafted_multimodal,DNABERT2_multimodal,Handcrafted_multimodal,pr_auc,0.00251,0.02334,-0.00865,0.01394,7,8,0,0.71973,0.87033
Random_Negatives_3,DNABERT2_multimodal minus Handcrafted_multimodal,DNABERT2_multimodal,Handcrafted_multimodal,mcc,-0.00194,0.05954,-0.03133,0.0273,8,7,0,1.0,1.0
Random_Negatives_3,DNABERT2_multimodal minus Handcrafted_multimodal,DNABERT2_multimodal,Handcrafted_multimodal,roc_auc,-0.00078,0.02073,-0.01069,0.00969,7,8,0,0.76154,0.87033
Random_Negatives_3,DNABERT2_multimodal minus Handcrafted_multimodal,DNABERT2_multimodal,Handcrafted_multimodal,f1,-0.0547,0.07225,-0.09128,-0.02102,2,13,0,0.00836,0.0223
Random_Negatives_3,Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,pr_auc,0.02002,0.02049,0.00984,0.02987,13,2,0,0.00336,0.01074
Random_Negatives_3,Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,mcc,0.01676,0.05159,-0.00637,0.04313,6,9,0,0.84692,0.90339
Random_Negatives_3,Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,roc_auc,0.00956,0.01456,0.00207,0.01669,11,4,0,0.02155,0.04309
Random_Negatives_3,Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,f1,-0.01853,0.07652,-0.05807,0.01753,7,8,0,0.59949,0.79932
Random_Negatives_3,DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,pr_auc,0.02254,0.03055,0.00698,0.0371,12,3,0,0.02155,0.04309
Random_Negatives_3,DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,mcc,0.01482,0.04649,-0.00737,0.03755,8,7,0,0.4212,0.61266
Random_Negatives_3,DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,roc_auc,0.00878,0.02442,-0.00321,0.02135,11,4,0,0.22931,0.36689
Random_Negatives_3,DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,f1,-0.07323,0.113,-0.12762,-0.01706,4,11,0,0.03534,0.06283
Random_Negatives_3,Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,pr_auc,0.05221,0.03533,0.03481,0.0694,13,2,0,0.00031,0.00122
Random_Negatives_3,Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,mcc,0.10078,0.07486,0.06721,0.13867,14,1,0,0.00012,0.00065
Random_Negatives_3,Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,roc_auc,0.07804,0.03677,0.05919,0.0951,14,1,0,0.00012,0.00065
Random_Negatives_3,Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,f1,0.16405,0.151,0.09426,0.24246,15,0,0,6e-05,0.00065
Random_Negatives_4,DNABERT2_multimodal minus Handcrafted_multimodal,DNABERT2_multimodal,Handcrafted_multimodal,pr_auc,0.01058,0.01399,0.00395,0.01757,13,2,0,0.00836,0.01672
Random_Negatives_4,DNABERT2_multimodal minus Handcrafted_multimodal,DNABERT2_multimodal,Handcrafted_multimodal,mcc,0.02071,0.06513,-0.01265,0.04991,11,4,0,0.08325,0.111
Random_Negatives_4,DNABERT2_multimodal minus Handcrafted_multimodal,DNABERT2_multimodal,Handcrafted_multimodal,roc_auc,0.00662,0.00977,0.00202,0.01141,10,5,0,0.02557,0.04092
Random_Negatives_4,DNABERT2_multimodal minus Handcrafted_multimodal,DNABERT2_multimodal,Handcrafted_multimodal,f1,0.0361,0.10961,-0.01335,0.09286,8,7,0,0.52448,0.52448
Random_Negatives_4,Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,pr_auc,0.01862,0.01715,0.00968,0.02644,13,2,0,0.00262,0.0105
Random_Negatives_4,Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,mcc,0.0203,0.04983,-0.00295,0.04414,10,5,0,0.22931,0.2446
Random_Negatives_4,Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,roc_auc,0.01124,0.01439,0.00387,0.01785,12,3,0,0.01508,0.0268
Random_Negatives_4,Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,f1,0.03392,0.15219,-0.03925,0.11127,11,4,0,0.15143,0.17306
Random_Negatives_4,DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,pr_auc,0.0292,0.02093,0.01835,0.03892,14,1,0,0.00031,0.00244
Random_Negatives_4,DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,mcc,0.041,0.07155,0.00426,0.07334,11,4,0,0.04126,0.06001
Random_Negatives_4,DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,roc_auc,0.01786,0.01836,0.00931,0.02644,12,3,0,0.00336,0.01074
Random_Negatives_4,DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,f1,0.07002,0.11145,0.02269,0.13245,13,2,0,0.00537,0.01228
Random_Negatives_4,Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,pr_auc,0.06026,0.04382,0.03822,0.08153,13,2,0,0.00061,0.00326
Random_Negatives_4,Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,mcc,0.07475,0.08153,0.03415,0.11371,12,3,0,0.00537,0.01228
Random_Negatives_4,Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,roc_auc,0.07658,0.04497,0.05388,0.09795,14,1,0,0.00012,0.00195
Random_Negatives_4,Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,f1,0.07468,0.16348,-0.00981,0.15265,11,4,0,0.15143,0.17306
Random_Negatives_5,DNABERT2_multimodal minus Handcrafted_multimodal,DNABERT2_multimodal,Handcrafted_multimodal,pr_auc,0.00486,0.01523,-0.00259,0.01257,9,6,0,0.22931,0.30575
Random_Negatives_5,DNABERT2_multimodal minus Handcrafted_multimodal,DNABERT2_multimodal,Handcrafted_multimodal,mcc,0.00984,0.0374,-0.00765,0.02815,10,5,0,0.33026,0.37744
Random_Negatives_5,DNABERT2_multimodal minus Handcrafted_multimodal,DNABERT2_multimodal,Handcrafted_multimodal,roc_auc,0.0057,0.00688,0.00237,0.00908,11,4,0,0.01508,0.02412
Random_Negatives_5,DNABERT2_multimodal minus Handcrafted_multimodal,DNABERT2_multimodal,Handcrafted_multimodal,f1,0.00867,0.10785,-0.04216,0.06231,7,8,0,0.76154,0.76154
Random_Negatives_5,Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,pr_auc,0.02521,0.024,0.01402,0.03727,12,3,0,0.00153,0.00407
Random_Negatives_5,Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,mcc,0.03364,0.0575,0.00801,0.06327,11,4,0,0.04126,0.06001
Random_Negatives_5,Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,roc_auc,0.01226,0.01138,0.00677,0.01833,13,2,0,0.00043,0.00137
Random_Negatives_5,Handcrafted_multimodal minus Protein_only_ProtBERT_SW,Handcrafted_multimodal,Protein_only_ProtBERT_SW,f1,-0.01917,0.05165,-0.04593,0.00321,6,9,0,0.33026,0.37744
Random_Negatives_5,DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,pr_auc,0.03007,0.03156,0.01486,0.04559,11,4,0,0.00427,0.0076
Random_Negatives_5,DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,mcc,0.04347,0.05119,0.0199,0.07043,13,2,0,0.00201,0.0046
Random_Negatives_5,DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,roc_auc,0.01795,0.01463,0.01077,0.0253,13,2,0,0.00031,0.00137
Random_Negatives_5,DNABERT2_multimodal minus Protein_only_ProtBERT_SW,DNABERT2_multimodal,Protein_only_ProtBERT_SW,f1,-0.01051,0.09498,-0.05633,0.03668,6,9,0,0.76154,0.76154
Random_Negatives_5,Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,pr_auc,0.04637,0.04817,0.02232,0.06975,11,4,0,0.00427,0.0076
Random_Negatives_5,Protein_only_ProtBERT_SW minus Genomic_only_K3K4Basic,Protein_only_ProtBERT_SW,Genomic_only_K3K4Basic,mcc,0.09108,0.07281,0.05546,0.12619,13,2,0,0.00043,0.00137
