scenario_name,scenario_type,model_name,display_name,metric,mean,sd,ci95_low,ci95_high,n_folds
Random_Negatives_1,random_negative_subset,Handcrafted_multimodal,Handcrafted multimodal,mcc,0.29514,0.06684,0.26228,0.3279,15
Random_Negatives_1,random_negative_subset,Handcrafted_multimodal,Handcrafted multimodal,f1,0.60284,0.11733,0.54419,0.65826,15
Random_Negatives_1,random_negative_subset,Handcrafted_multimodal,Handcrafted multimodal,accuracy,0.63286,0.03854,0.61405,0.65167,15
Random_Negatives_1,random_negative_subset,Handcrafted_multimodal,Handcrafted multimodal,precision,0.6679,0.07411,0.63137,0.70213,15
Random_Negatives_1,random_negative_subset,Handcrafted_multimodal,Handcrafted multimodal,recall,0.61381,0.24075,0.49568,0.73049,15
Random_Negatives_1,random_negative_subset,Handcrafted_multimodal,Handcrafted multimodal,specificity,0.6519,0.22815,0.53664,0.75811,15
Random_Negatives_1,random_negative_subset,Protein_only_ProtBERT_SW,Protein-only,pr_auc,0.68553,0.04286,0.6651,0.7072,15
Random_Negatives_1,random_negative_subset,Protein_only_ProtBERT_SW,Protein-only,roc_auc,0.70305,0.03288,0.68757,0.7197,15
Random_Negatives_1,random_negative_subset,Protein_only_ProtBERT_SW,Protein-only,mcc,0.27011,0.08014,0.23119,0.30857,15
Random_Negatives_1,random_negative_subset,Protein_only_ProtBERT_SW,Protein-only,f1,0.62363,0.1157,0.56335,0.67335,15
Random_Negatives_1,random_negative_subset,Protein_only_ProtBERT_SW,Protein-only,accuracy,0.62619,0.04199,0.60595,0.64643,15
Random_Negatives_1,random_negative_subset,Protein_only_ProtBERT_SW,Protein-only,precision,0.62466,0.04021,0.60534,0.64444,15
Random_Negatives_1,random_negative_subset,Protein_only_ProtBERT_SW,Protein-only,recall,0.66762,0.21099,0.56142,0.76428,15
Random_Negatives_1,random_negative_subset,Protein_only_ProtBERT_SW,Protein-only,specificity,0.58476,0.17513,0.50095,0.66762,15
Random_Negatives_2,random_negative_subset,DNABERT2_multimodal,DNABERT-2 multimodal,pr_auc,0.70598,0.0362,0.68841,0.72373,15
Random_Negatives_2,random_negative_subset,DNABERT2_multimodal,DNABERT-2 multimodal,roc_auc,0.71415,0.03369,0.6984,0.73059,15
Random_Negatives_2,random_negative_subset,DNABERT2_multimodal,DNABERT-2 multimodal,mcc,0.31226,0.06336,0.28121,0.34301,15
Random_Negatives_2,random_negative_subset,DNABERT2_multimodal,DNABERT-2 multimodal,f1,0.61906,0.06485,0.58602,0.64852,15
Random_Negatives_2,random_negative_subset,DNABERT2_multimodal,DNABERT-2 multimodal,accuracy,0.6519,0.03191,0.63619,0.66714,15
Random_Negatives_2,random_negative_subset,DNABERT2_multimodal,DNABERT-2 multimodal,precision,0.68389,0.05018,0.66201,0.71222,15
Random_Negatives_2,random_negative_subset,DNABERT2_multimodal,DNABERT-2 multimodal,recall,0.57857,0.11148,0.52238,0.62954,15
Random_Negatives_2,random_negative_subset,DNABERT2_multimodal,DNABERT-2 multimodal,specificity,0.72524,0.08528,0.68571,0.77,15
Random_Negatives_2,random_negative_subset,Genomic_only_K3K4Basic,Genomic-only,pr_auc,0.63037,0.03519,0.61318,0.64686,15
Random_Negatives_2,random_negative_subset,Genomic_only_K3K4Basic,Genomic-only,roc_auc,0.62784,0.03373,0.61163,0.64383,15
Random_Negatives_2,random_negative_subset,Genomic_only_K3K4Basic,Genomic-only,mcc,0.18665,0.06486,0.15364,0.21657,15
Random_Negatives_2,random_negative_subset,Genomic_only_K3K4Basic,Genomic-only,f1,0.54997,0.07086,0.5142,0.58267,15
Random_Negatives_2,random_negative_subset,Genomic_only_K3K4Basic,Genomic-only,accuracy,0.58976,0.0327,0.57332,0.60524,15
Random_Negatives_2,random_negative_subset,Genomic_only_K3K4Basic,Genomic-only,precision,0.61312,0.04489,0.59055,0.63432,15
Random_Negatives_2,random_negative_subset,Genomic_only_K3K4Basic,Genomic-only,recall,0.51667,0.12699,0.45476,0.57857,15
Random_Negatives_2,random_negative_subset,Genomic_only_K3K4Basic,Genomic-only,specificity,0.66286,0.12979,0.59619,0.72287,15
Random_Negatives_2,random_negative_subset,Handcrafted_multimodal,Handcrafted multimodal,pr_auc,0.69701,0.03379,0.68063,0.71398,15
Random_Negatives_2,random_negative_subset,Handcrafted_multimodal,Handcrafted multimodal,roc_auc,0.71005,0.02973,0.69633,0.72503,15
Random_Negatives_2,random_negative_subset,Handcrafted_multimodal,Handcrafted multimodal,mcc,0.28561,0.07368,0.24946,0.3226,15
Random_Negatives_2,random_negative_subset,Handcrafted_multimodal,Handcrafted multimodal,f1,0.60166,0.10728,0.54531,0.65088,15
Random_Negatives_2,random_negative_subset,Handcrafted_multimodal,Handcrafted multimodal,accuracy,0.63405,0.04169,0.61357,0.65524,15
Random_Negatives_2,random_negative_subset,Handcrafted_multimodal,Handcrafted multimodal,precision,0.66962,0.06986,0.63512,0.70407,15
Random_Negatives_2,random_negative_subset,Handcrafted_multimodal,Handcrafted multimodal,recall,0.59048,0.18907,0.49381,0.68239,15
Random_Negatives_2,random_negative_subset,Handcrafted_multimodal,Handcrafted multimodal,specificity,0.67762,0.18461,0.58238,0.76524,15
Random_Negatives_2,random_negative_subset,Protein_only_ProtBERT_SW,Protein-only,pr_auc,0.67574,0.04031,0.65589,0.69513,15
Random_Negatives_2,random_negative_subset,Protein_only_ProtBERT_SW,Protein-only,roc_auc,0.69534,0.02885,0.68169,0.70954,15
Random_Negatives_2,random_negative_subset,Protein_only_ProtBERT_SW,Protein-only,mcc,0.25877,0.05743,0.23105,0.28706,15
Random_Negatives_2,random_negative_subset,Protein_only_ProtBERT_SW,Protein-only,f1,0.62063,0.07768,0.58198,0.65663,15
Random_Negatives_2,random_negative_subset,Protein_only_ProtBERT_SW,Protein-only,accuracy,0.62095,0.03024,0.60667,0.63619,15
Random_Negatives_2,random_negative_subset,Protein_only_ProtBERT_SW,Protein-only,precision,0.62742,0.04973,0.60345,0.65124,15
Random_Negatives_2,random_negative_subset,Protein_only_ProtBERT_SW,Protein-only,recall,0.65095,0.18404,0.56189,0.73954,15
Random_Negatives_2,random_negative_subset,Protein_only_ProtBERT_SW,Protein-only,specificity,0.59095,0.18403,0.49951,0.67571,15
Random_Negatives_3,random_negative_subset,DNABERT2_multimodal,DNABERT-2 multimodal,pr_auc,0.71225,0.03213,0.69391,0.7263,15
Random_Negatives_3,random_negative_subset,DNABERT2_multimodal,DNABERT-2 multimodal,roc_auc,0.712,0.03106,0.69571,0.72665,15
Random_Negatives_3,random_negative_subset,DNABERT2_multimodal,DNABERT-2 multimodal,mcc,0.29988,0.05432,0.27241,0.32612,15
Random_Negatives_3,random_negative_subset,DNABERT2_multimodal,DNABERT-2 multimodal,f1,0.55849,0.10077,0.50899,0.60747,15
Random_Negatives_3,random_negative_subset,DNABERT2_multimodal,DNABERT-2 multimodal,accuracy,0.63643,0.03114,0.62119,0.65238,15
Random_Negatives_3,random_negative_subset,DNABERT2_multimodal,DNABERT-2 multimodal,precision,0.71897,0.07514,0.68176,0.75477,15
Random_Negatives_3,random_negative_subset,DNABERT2_multimodal,DNABERT-2 multimodal,recall,0.48905,0.16556,0.40999,0.57,15
Random_Negatives_3,random_negative_subset,DNABERT2_multimodal,DNABERT-2 multimodal,specificity,0.78381,0.13389,0.71762,0.84573,15
Random_Negatives_3,random_negative_subset,Genomic_only_K3K4Basic,Genomic-only,pr_auc,0.63751,0.03294,0.62095,0.65334,15
Random_Negatives_3,random_negative_subset,Genomic_only_K3K4Basic,Genomic-only,roc_auc,0.62518,0.03176,0.60945,0.64089,15
Random_Negatives_3,random_negative_subset,Genomic_only_K3K4Basic,Genomic-only,mcc,0.18428,0.06446,0.15222,0.21428,15
Random_Negatives_3,random_negative_subset,Genomic_only_K3K4Basic,Genomic-only,f1,0.46766,0.12663,0.40175,0.5253,15
Random_Negatives_3,random_negative_subset,Genomic_only_K3K4Basic,Genomic-only,accuracy,0.58048,0.02991,0.56548,0.59405,15
Random_Negatives_3,random_negative_subset,Genomic_only_K3K4Basic,Genomic-only,precision,0.65246,0.07531,0.61673,0.68963,15
Random_Negatives_3,random_negative_subset,Genomic_only_K3K4Basic,Genomic-only,recall,0.40048,0.17041,0.32,0.48477,15
Random_Negatives_3,random_negative_subset,Genomic_only_K3K4Basic,Genomic-only,specificity,0.76048,0.1556,0.68476,0.83335,15
Random_Negatives_3,random_negative_subset,Handcrafted_multimodal,Handcrafted multimodal,pr_auc,0.70974,0.02606,0.69641,0.72207,15
Random_Negatives_3,random_negative_subset,Handcrafted_multimodal,Handcrafted multimodal,roc_auc,0.71278,0.027,0.69975,0.7261,15
Random_Negatives_3,random_negative_subset,Handcrafted_multimodal,Handcrafted multimodal,mcc,0.30182,0.06189,0.27479,0.33416,15
Random_Negatives_3,random_negative_subset,Handcrafted_multimodal,Handcrafted multimodal,f1,0.61319,0.09638,0.56334,0.65777,15
Random_Negatives_3,random_negative_subset,Handcrafted_multimodal,Handcrafted multimodal,accuracy,0.63833,0.03524,0.62309,0.65762,15
Random_Negatives_3,random_negative_subset,Handcrafted_multimodal,Handcrafted multimodal,precision,0.6746,0.08266,0.63541,0.71459,15
Random_Negatives_3,random_negative_subset,Handcrafted_multimodal,Handcrafted multimodal,recall,0.61429,0.20598,0.51381,0.71381,15
Random_Negatives_3,random_negative_subset,Handcrafted_multimodal,Handcrafted multimodal,specificity,0.66238,0.2075,0.55856,0.76001,15
Random_Negatives_3,random_negative_subset,Protein_only_ProtBERT_SW,Protein-only,pr_auc,0.68972,0.02282,0.67857,0.70079,15
Random_Negatives_3,random_negative_subset,Protein_only_ProtBERT_SW,Protein-only,roc_auc,0.70322,0.02293,0.69237,0.71453,15
Random_Negatives_3,random_negative_subset,Protein_only_ProtBERT_SW,Protein-only,mcc,0.28506,0.0392,0.26495,0.30409,15
Random_Negatives_3,random_negative_subset,Protein_only_ProtBERT_SW,Protein-only,f1,0.63172,0.06869,0.59596,0.66348,15
Random_Negatives_3,random_negative_subset,Protein_only_ProtBERT_SW,Protein-only,accuracy,0.635,0.01822,0.62595,0.64405,15
Random_Negatives_3,random_negative_subset,Protein_only_ProtBERT_SW,Protein-only,precision,0.64118,0.04211,0.6218,0.66272,15
Random_Negatives_3,random_negative_subset,Protein_only_ProtBERT_SW,Protein-only,recall,0.65238,0.16729,0.56904,0.73335,15
Random_Negatives_3,random_negative_subset,Protein_only_ProtBERT_SW,Protein-only,specificity,0.61762,0.15471,0.54285,0.69333,15
Random_Negatives_4,random_negative_subset,DNABERT2_multimodal,DNABERT-2 multimodal,pr_auc,0.72884,0.03073,0.71272,0.74339,15
Random_Negatives_4,random_negative_subset,DNABERT2_multimodal,DNABERT-2 multimodal,roc_auc,0.72652,0.02739,0.71251,0.73992,15
Random_Negatives_4,random_negative_subset,DNABERT2_multimodal,DNABERT-2 multimodal,mcc,0.32063,0.05545,0.29305,0.34848,15
Random_Negatives_4,random_negative_subset,DNABERT2_multimodal,DNABERT-2 multimodal,f1,0.65511,0.04785,0.63076,0.67771,15
Random_Negatives_4,random_negative_subset,DNABERT2_multimodal,DNABERT-2 multimodal,accuracy,0.65381,0.02807,0.63976,0.66762,15
Random_Negatives_4,random_negative_subset,DNABERT2_multimodal,DNABERT-2 multimodal,precision,0.6642,0.06919,0.63275,0.70075,15
Random_Negatives_4,random_negative_subset,DNABERT2_multimodal,DNABERT-2 multimodal,recall,0.67286,0.13421,0.60762,0.73525,15
Random_Negatives_4,random_negative_subset,DNABERT2_multimodal,DNABERT-2 multimodal,specificity,0.63476,0.15737,0.56048,0.71287,15
Random_Negatives_4,random_negative_subset,Genomic_only_K3K4Basic,Genomic-only,pr_auc,0.63938,0.0367,0.62006,0.656,15
Random_Negatives_4,random_negative_subset,Genomic_only_K3K4Basic,Genomic-only,roc_auc,0.63208,0.03004,0.61672,0.64635,15
Random_Negatives_4,random_negative_subset,Genomic_only_K3K4Basic,Genomic-only,mcc,0.20488,0.05163,0.18009,0.2299,15
Random_Negatives_4,random_negative_subset,Genomic_only_K3K4Basic,Genomic-only,f1,0.5104,0.0863,0.46836,0.55307,15
Random_Negatives_4,random_negative_subset,Genomic_only_K3K4Basic,Genomic-only,accuracy,0.59405,0.02602,0.58191,0.60714,15
Random_Negatives_4,random_negative_subset,Genomic_only_K3K4Basic,Genomic-only,precision,0.64736,0.04982,0.62314,0.67178,15
Random_Negatives_4,random_negative_subset,Genomic_only_K3K4Basic,Genomic-only,recall,0.44333,0.14161,0.37476,0.51479,15
Random_Negatives_4,random_negative_subset,Genomic_only_K3K4Basic,Genomic-only,specificity,0.74476,0.12299,0.68284,0.80333,15
