gene,source_file,source_file_name,model_guess,gene_col,score_col,rank_col,score_value,rank_value,context_rank,context_score,context_list_name,context_theme,context_group,context_model_name
NDUFA7,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Multimodal_DNABERT2_top100_genes.csv,Multimodal_DNABERT2_top100_genes.csv,DNABERT2_multimodal,gene_symbol,score,rank,0.5870253232613809,98.0,98.0,0.5870253232613809,Multimodal_DNABERT2_top100,,,
CACNA1D,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Multimodal_DNABERT2_top50_genes.csv,Multimodal_DNABERT2_top50_genes.csv,DNABERT2_multimodal,gene_symbol,score,rank,0.8603972774622827,2.0,2.0,0.8603972774622827,Multimodal_DNABERT2_top50,,,
GAD1,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Multimodal_DNABERT2_top50_genes.csv,Multimodal_DNABERT2_top50_genes.csv,DNABERT2_multimodal,gene_symbol,score,rank,0.8364516684739696,5.0,5.0,0.8364516684739696,Multimodal_DNABERT2_top50,,,
INSR,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Multimodal_DNABERT2_top50_genes.csv,Multimodal_DNABERT2_top50_genes.csv,DNABERT2_multimodal,gene_symbol,score,rank,0.8328189732305473,6.0,6.0,0.8328189732305473,Multimodal_DNABERT2_top50,,,
NDUFV1,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Multimodal_DNABERT2_top50_genes.csv,Multimodal_DNABERT2_top50_genes.csv,DNABERT2_multimodal,gene_symbol,score,rank,0.7828726253062582,13.0,13.0,0.7828726253062582,Multimodal_DNABERT2_top50,,,
NDUFB2,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Multimodal_DNABERT2_top50_genes.csv,Multimodal_DNABERT2_top50_genes.csv,DNABERT2_multimodal,gene_symbol,score,rank,0.7672387857513145,18.0,18.0,0.7672387857513145,Multimodal_DNABERT2_top50,,,
HHEX,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Multimodal_DNABERT2_top50_genes.csv,Multimodal_DNABERT2_top50_genes.csv,DNABERT2_multimodal,gene_symbol,score,rank,0.7532621177071895,26.0,26.0,0.7532621177071895,Multimodal_DNABERT2_top50,,,
SCD5,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Multimodal_DNABERT2_top50_genes.csv,Multimodal_DNABERT2_top50_genes.csv,DNABERT2_multimodal,gene_symbol,score,rank,0.74550104985935,31.0,31.0,0.74550104985935,Multimodal_DNABERT2_top50,,,
NEUROD1,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Multimodal_DNABERT2_top50_genes.csv,Multimodal_DNABERT2_top50_genes.csv,DNABERT2_multimodal,gene_symbol,score,rank,0.7195274912875872,39.0,39.0,0.7195274912875872,Multimodal_DNABERT2_top50,,,
PDX1,/content/drive/MyDrive/Project_Protein/model/phase8_expanded_biological_validation/gene_lists/Multimodal_DNABERT2_top50_genes.csv,Multimodal_DNABERT2_top50_genes.csv,DNABERT2_multimodal,gene_symbol,score,rank,0.7017176946600953,47.0,47.0,0.7017176946600953,Multimodal_DNABERT2_top50,,,
