split_id,fusion_model,fusion_type,n_train,n_val,n_test,validation_mcc,selected_weight_protein,selected_weight_genomic,roc_auc,pr_auc,accuracy,precision,recall,specificity,f1,mcc,tn,fp,fn,tp,threshold,meta_feature_names
3,Stacking_Protein_Handcrafted_DNABERT2,stacking,1156,289,361,0.37716,,,0.74622,0.73106,0.70637,0.72561,0.66111,0.75138,0.69186,0.41423,136,45,61,119,0.50384,protein_score; handcrafted_genomic_score; dnabert2_genomic_score
4,Protein_only,single_modality,1156,289,361,0.37396,,,0.71581,0.70956,0.65651,0.6278,0.77348,0.53889,0.69307,0.3214,97,83,41,140,0.42324,
4,Handcrafted_genomic_only,single_modality,1156,289,361,0.23783,,,0.65212,0.65865,0.59557,0.69231,0.34807,0.84444,0.46324,0.22168,152,28,118,63,0.56845,
4,DNABERT2_genomic_only,single_modality,1156,289,361,0.26851,,,0.65617,0.66017,0.60111,0.71264,0.34254,0.86111,0.46269,0.23808,155,25,119,62,0.6313,
4,Early_fusion_Protein_HandcraftedGenomic,early_fusion,1156,289,361,0.37308,,,0.72726,0.72487,0.65097,0.65714,0.63536,0.66667,0.64607,0.30216,120,60,66,115,0.48061,
4,Early_fusion_Protein_DNABERT2Genomic,early_fusion,1156,289,361,0.36426,,,0.72851,0.71618,0.62881,0.76404,0.37569,0.88333,0.5037,0.30049,159,21,113,68,0.65274,
4,Late_fusion_Protein_HandcraftedGenomic,late_fusion_weighted_average,1156,289,361,0.41771,0.45,0.55,0.74122,0.72904,0.64266,0.68841,0.52486,0.76111,0.59561,0.29424,137,43,86,95,0.53,
4,Late_fusion_Protein_DNABERT2Genomic,late_fusion_weighted_average,1156,289,361,0.40272,0.6,0.4,0.7341,0.72585,0.66205,0.71852,0.53591,0.78889,0.61392,0.33564,142,38,84,97,0.53391,
4,Stacking_Protein_HandcraftedGenomic,stacking,1156,289,361,0.37724,,,0.73131,0.72488,0.65374,0.67722,0.59116,0.71667,0.63127,0.31025,129,51,74,107,0.51274,protein_score; handcrafted_genomic_score
4,Stacking_Protein_DNABERT2Genomic,stacking,1156,289,361,0.39796,,,0.73247,0.72462,0.68421,0.71069,0.62431,0.74444,0.66471,0.3714,134,46,68,113,0.51427,protein_score; dnabert2_genomic_score
4,Stacking_Protein_Handcrafted_DNABERT2,stacking,1156,289,361,0.39805,,,0.73659,0.72396,0.66759,0.68047,0.63536,0.7,0.65714,0.33604,126,54,66,115,0.50747,protein_score; handcrafted_genomic_score; dnabert2_genomic_score
5,Protein_only,single_modality,1156,289,361,0.42146,,,0.68696,0.67801,0.62604,0.6036,0.74033,0.51111,0.66501,0.25836,92,88,47,134,0.41879,
5,Handcrafted_genomic_only,single_modality,1156,289,361,0.33074,,,0.63588,0.64483,0.61219,0.6213,0.58011,0.64444,0.6,0.22501,116,64,76,105,0.50248,
5,DNABERT2_genomic_only,single_modality,1156,289,361,0.36336,,,0.63719,0.64378,0.5928,0.64167,0.42541,0.76111,0.51163,0.19798,137,43,104,77,0.55377,
5,Early_fusion_Protein_HandcraftedGenomic,early_fusion,1156,289,361,0.41952,,,0.70611,0.70797,0.66759,0.65969,0.69613,0.63889,0.67742,0.33559,115,65,55,126,0.47879,
5,Early_fusion_Protein_DNABERT2Genomic,early_fusion,1156,289,361,0.43031,,,0.70651,0.71121,0.6205,0.6746,0.46961,0.77222,0.55375,0.25367,139,41,96,85,0.59437,
5,Late_fusion_Protein_HandcraftedGenomic,late_fusion_weighted_average,1156,289,361,0.4414,0.35,0.65,0.70552,0.69143,0.64266,0.64607,0.63536,0.65,0.64067,0.28539,117,63,66,115,0.49129,
5,Late_fusion_Protein_DNABERT2Genomic,late_fusion_weighted_average,1156,289,361,0.43836,0.8,0.2,0.69601,0.68725,0.63435,0.60699,0.76796,0.5,0.67805,0.27819,90,90,42,139,0.41869,
5,Stacking_Protein_HandcraftedGenomic,stacking,1156,289,361,0.41555,,,0.70227,0.69539,0.64266,0.61818,0.75138,0.53333,0.6783,0.29179,96,84,45,136,0.44282,protein_score; handcrafted_genomic_score
5,Stacking_Protein_DNABERT2Genomic,stacking,1156,289,361,0.43107,,,0.70301,0.69346,0.63989,0.60159,0.83425,0.44444,0.69907,0.30275,80,100,30,151,0.40515,protein_score; dnabert2_genomic_score
5,Stacking_Protein_Handcrafted_DNABERT2,stacking,1156,289,361,0.41803,,,0.70792,0.69736,0.62327,0.58242,0.87845,0.36667,0.70044,0.28545,66,114,22,159,0.37619,protein_score; handcrafted_genomic_score; dnabert2_genomic_score
6,Protein_only,single_modality,1155,289,362,0.38953,,,0.67991,0.66909,0.61602,0.58468,0.8011,0.43094,0.67599,0.24979,78,103,36,145,0.38864,
6,Handcrafted_genomic_only,single_modality,1155,289,362,0.27158,,,0.64122,0.64275,0.55525,0.64706,0.24309,0.8674,0.35341,0.14145,157,24,137,44,0.59764,
6,DNABERT2_genomic_only,single_modality,1155,289,362,0.32905,,,0.65532,0.62742,0.60221,0.69072,0.37017,0.83425,0.48201,0.23078,151,30,114,67,0.58285,
6,Early_fusion_Protein_HandcraftedGenomic,early_fusion,1155,289,362,0.39786,,,0.68667,0.68455,0.62155,0.65278,0.51934,0.72376,0.57846,0.24834,131,50,87,94,0.57089,
6,Early_fusion_Protein_DNABERT2Genomic,early_fusion,1155,289,362,0.43957,,,0.70376,0.68607,0.66298,0.67456,0.62983,0.69613,0.65143,0.32669,126,55,67,114,0.50865,
6,Late_fusion_Protein_HandcraftedGenomic,late_fusion_weighted_average,1155,289,362,0.41269,0.45,0.55,0.70459,0.69506,0.67403,0.66845,0.69061,0.65746,0.67935,0.34826,119,62,56,125,0.5038,
6,Late_fusion_Protein_DNABERT2Genomic,late_fusion_weighted_average,1155,289,362,0.41943,0.55,0.45,0.70798,0.68132,0.64917,0.65517,0.62983,0.66851,0.64225,0.29857,121,60,67,114,0.50754,
6,Stacking_Protein_HandcraftedGenomic,stacking,1155,289,362,0.38229,,,0.69198,0.68194,0.6326,0.59677,0.81768,0.44751,0.68998,0.28547,81,100,33,148,0.4268,protein_score; handcrafted_genomic_score
6,Stacking_Protein_DNABERT2Genomic,stacking,1155,289,362,0.38052,,,0.70105,0.68217,0.6547,0.63861,0.71271,0.59669,0.67363,0.3115,108,73,52,129,0.47563,protein_score; dnabert2_genomic_score
6,Stacking_Protein_Handcrafted_DNABERT2,stacking,1155,289,362,0.39451,,,0.70428,0.68492,0.66298,0.64115,0.74033,0.58564,0.68718,0.32994,106,75,47,134,0.47002,protein_score; handcrafted_genomic_score; dnabert2_genomic_score
7,Protein_only,single_modality,1156,289,361,0.32512,,,0.724,0.68665,0.64543,0.70635,0.49444,0.79558,0.5817,0.30422,144,37,91,89,0.57912,
7,Handcrafted_genomic_only,single_modality,1156,289,361,0.24583,,,0.69223,0.67886,0.6482,0.6732,0.57222,0.72376,0.61862,0.29947,131,50,77,103,0.50119,
7,DNABERT2_genomic_only,single_modality,1156,289,361,0.30185,,,0.69685,0.68362,0.60111,0.74324,0.30556,0.89503,0.43307,0.24844,162,19,125,55,0.61308,
7,Early_fusion_Protein_HandcraftedGenomic,early_fusion,1156,289,361,0.39089,,,0.74359,0.71463,0.6482,0.73451,0.46111,0.83425,0.56655,0.31847,151,30,97,83,0.62221,
7,Early_fusion_Protein_DNABERT2Genomic,early_fusion,1156,289,361,0.45679,,,0.75999,0.71372,0.6759,0.77391,0.49444,0.85635,0.60339,0.37646,155,26,91,89,0.61093,
7,Late_fusion_Protein_HandcraftedGenomic,late_fusion_weighted_average,1156,289,361,0.36354,0.45,0.55,0.75807,0.72948,0.68421,0.70122,0.63889,0.72928,0.6686,0.36972,132,49,65,115,0.50583,
7,Late_fusion_Protein_DNABERT2Genomic,late_fusion_weighted_average,1156,289,361,0.37757,0.2,0.8,0.7438,0.72365,0.66759,0.63636,0.77778,0.55801,0.7,0.34413,101,80,40,140,0.4574,
7,Stacking_Protein_HandcraftedGenomic,stacking,1156,289,361,0.35977,,,0.74098,0.71144,0.65651,0.75,0.46667,0.8453,0.57534,0.33719,153,28,96,84,0.57291,protein_score; handcrafted_genomic_score
7,Stacking_Protein_DNABERT2Genomic,stacking,1156,289,361,0.35087,,,0.75068,0.73266,0.63989,0.78409,0.38333,0.89503,0.51493,0.32416,162,19,111,69,0.60907,protein_score; dnabert2_genomic_score
7,Stacking_Protein_Handcrafted_DNABERT2,stacking,1156,289,361,0.34367,,,0.75589,0.73974,0.6759,0.72993,0.55556,0.79558,0.63091,0.3618,144,37,80,100,0.55258,protein_score; handcrafted_genomic_score; dnabert2_genomic_score
8,Protein_only,single_modality,1156,289,361,0.33705,,,0.72479,0.71646,0.65928,0.62232,0.80556,0.51381,0.70218,0.3338,93,88,35,145,0.44869,
8,Handcrafted_genomic_only,single_modality,1156,289,361,0.32269,,,0.61811,0.6453,0.59834,0.62774,0.47778,0.71823,0.54259,0.20196,130,51,94,86,0.52642,
8,DNABERT2_genomic_only,single_modality,1156,289,361,0.35487,,,0.64693,0.64848,0.5928,0.59116,0.59444,0.59116,0.5928,0.1856,107,74,73,107,0.47628,
8,Early_fusion_Protein_HandcraftedGenomic,early_fusion,1156,289,361,0.36439,,,0.73735,0.71781,0.67867,0.68182,0.66667,0.69061,0.67416,0.35738,125,56,60,120,0.52205,
8,Early_fusion_Protein_DNABERT2Genomic,early_fusion,1156,289,361,0.40045,,,0.73929,0.72418,0.67036,0.67232,0.66111,0.67956,0.66667,0.34073,123,58,61,119,0.51414,
8,Late_fusion_Protein_HandcraftedGenomic,late_fusion_weighted_average,1156,289,361,0.40577,0.5,0.5,0.73026,0.73385,0.65651,0.68421,0.57778,0.73481,0.62651,0.31655,133,48,76,104,0.53856,
8,Late_fusion_Protein_DNABERT2Genomic,late_fusion_weighted_average,1156,289,361,0.41603,0.4,0.6,0.72664,0.73713,0.65928,0.70213,0.55,0.76796,0.61682,0.32585,139,42,81,99,0.5491,
